epoch,dice_hard,loss,val_dice_hard,val_loss
0,0.07834962,0.156267956,0.473978894,0.30664876
1,0.28583823,0.145939901,0.506600755,0.318266952
2,0.2375502,0.142522722,0.545420337,0.31345114
3,0.36618821,0.138486773,0.531562061,0.301769929
4,0.47712386,0.142064273,0.577715493,0.290792169
5,0.51453844,0.140402272,0.59812904,0.301134089
6,0.53818241,0.138418555,0.586877204,0.294078114
7,0.57469208,0.140911713,0.613762934,0.281167453
8,0.59308108,0.139007628,0.642381345,0.280806938
9,0.63210368,0.137434766,0.670059415,0.275236965
10,0.72416946,0.141463801,0.684179171,0.285354744
11,0.73169805,0.13312906,0.698897036,0.274729099
12,0.83931886,0.137789711,0.729833813,0.265948335
13,0.78884959,0.136541903,0.747608975,0.260626878
14,0.85690275,0.132397786,0.769215949,0.25587972
15,0.87525442,0.132103816,0.792628835,0.251227197
16,0.83176062,0.133033246,0.802558071,0.251070645
17,0.86406589,0.131843224,0.845500109,0.246666669
18,0.84693007,0.137956187,0.827281391,0.245751764
19,0.92450202,0.132025316,0.868408374,0.243385892
